state,district,city_name,latitude,longitude,population,source
"Meghalaya","East Khassi Hills","Shillong","25.578765","91.893187","143299","Vynex Indian Cities Geodata"
"Manipur","Imphal West; Imphal East","Imphal","24.8170111","93.9368439","264986","Vynex Indian Cities Geodata"
"Uttar Pradesh","Hapur","Hapur","28.7305798","77.7758825","262801","Vynex Indian Cities Geodata"
"Tamil Nadu","","Ranipet","","","","Existing IRTMS India city catalog"
"Andhra Pradesh","Anantapur","Anantapur","14.6818877","77.6005911","268503","Vynex Indian Cities Geodata"
"Bihar","Bhojpur","Arrah","25.5560443","84.6603307","261099","Vynex Indian Cities Geodata"
"Telangana","Karimnagar","Karimnagar","18.438485","79.128931","261185","Vynex Indian Cities Geodata"
"Maharashtra","Parbhani","Parbhani","19.2609958","76.776665","270000","Vynex Indian Cities Geodata"
"Uttar Pradesh","Etawah","Etawah","26.784784","79.021451","256790","Vynex Indian Cities Geodata"
"Rajasthan","Bharatpur","Bharatpur","27.216981","77.489515","252000","Vynex Indian Cities Geodata"
"Bihar","Begusarai","Begusarai","25.416675","86.1293792","251136","Vynex Indian Cities Geodata"
"Delhi","","New Delhi","","","","Existing IRTMS India city catalog"
"Bihar","Saran","Chhapra","25.7795649","84.7498886","212955","Vynex Indian Cities Geodata"
"Andhra Pradesh","Kadapa","Kadapa","14.4673541","78.8241339","341823","Vynex Indian Cities Geodata"
"Telangana","Karimnagar","Ramagundam","18.762412","79.473362","229644","Vynex Indian Cities Geodata"
"Rajasthan","Pali","Pali","25.7710893","73.3234478","230075","Vynex Indian Cities Geodata"
"Madhya Pradesh","Satna","Satna","24.6005075","80.8322428","283004","Vynex Indian Cities Geodata"
"Andhra Pradesh","Vizianagaram","Vizianagaram","18.1066576","83.3955506","228025","Vynex Indian Cities Geodata"
"Bihar","Katihar","Katihar","25.542424","87.567953","240565","Vynex Indian Cities Geodata"
"Uttarakhand","","Hardwar","","","","Existing IRTMS India city catalog"
"Haryana","Sonipat","Sonipat","28.9287735","77.091281","292339","Vynex Indian Cities Geodata"
"Tamil Nadu","Kanyakumari","Nagercoil","8.1832857","77.4118996","224849","Vynex Indian Cities Geodata"
"Tamil Nadu","Thanjavur","Thanjavur","10.7869994","79.1378274","222943","Vynex Indian Cities Geodata"
"Madhya Pradesh","","Murwara (Katni)","","","","Existing IRTMS India city catalog"
"West Bengal","","Naihati","","","","Existing IRTMS India city catalog"
"Uttar Pradesh","Sambhal","Sambhal","28.5903614","78.5717631","221334","Vynex Indian Cities Geodata"
"Gujarat","Kheda","Nadiad","22.6915853","72.8633635","218095","Vynex Indian Cities Geodata"
"Haryana","Yamunanagar","Yamunanagar","30.1290485","77.2673901","383318","Vynex Indian Cities Geodata"
"West Bengal","","English Bazar","","","","Existing IRTMS India city catalog"
"Andhra Pradesh","West","Eluru","16.7106604","81.0952431","217876","Vynex Indian Cities Geodata"
"Bihar","Munger","Munger","25.376505","86.476588","213101","Vynex Indian Cities Geodata"
"Haryana","Panchkula","Panchkula","30.6942091","76.860565","210175","Vynex Indian Cities Geodata"
"Karnataka","","Raayachuru","","","","Existing IRTMS India city catalog"
"Maharashtra","","Panvel","","","","Existing IRTMS India city catalog"
"Jharkhand","Deoghar","Deoghar","24.4763201","86.6913222","203116","Vynex Indian Cities Geodata"
"Andhra Pradesh","Prakasam","Ongole","15.5057232","80.049922","202826","Vynex Indian Cities Geodata"
"Andhra Pradesh","Kurnool","Nandyal","15.4785694","78.4830934","200746","Vynex Indian Cities Geodata"
